id,query,expected_category,predicted_category,sentiment,priority,confidence,suggested_reply,automation_action
41,What is the difference between whey isolate and whey concentrate?,general_query,general_query,neutral,medium,0.85,"Whey isolate is a more processed form of whey protein that contains a higher percentage of protein and less fat and lactose compared to whey concentrate. If you have any more questions or need further assistance, feel free to ask!",Respond with FAQ information
42,Does your pre-workout contain caffeine? I'm sensitive to stimulants.,general_query,general_query,neutral,medium,0.85,"Yes, our pre-workout does contain caffeine. If you're sensitive to stimulants, we recommend checking the label for the exact amount or considering our stimulant-free options. Let us know if you have any other questions!",Respond with FAQ information
43,Are your products tested for banned substances? I'm a competitive athlete.,general_query,general_query,neutral,medium,0.85,"Yes, our products are tested for banned substances to ensure they meet the highest safety standards for athletes. If you have any specific concerns or need more information, feel free to ask!",Respond with FAQ information
44,What is the best product for lean muscle gain for a beginner?,general_query,general_query,neutral,medium,0.85,"For beginners looking to gain lean muscle, I recommend starting with a balanced diet rich in protein, along with a good quality protein supplement. Additionally, consider incorporating strength training exercises into your routine. If you have specific products in mind, I can help you compare them!",Respond with FAQ information
45,Do you offer bulk pricing for gym owners who want to resell?,general_query,general_query,neutral,medium,0.85,"Thank you for your inquiry! Yes, we do offer bulk pricing for gym owners interested in reselling our products. Please provide us with more details about your needs, and we'll be happy to assist you further.",Respond with FAQ information
46,Is your whey protein suitable for lactose intolerant people?,general_query,general_query,neutral,medium,0.85,"Yes, our whey protein is suitable for lactose intolerant individuals as it is processed to remove most of the lactose. However, we recommend checking the ingredient list for any specific concerns.",Respond with FAQ information
47,What are the shipping charges for orders to remote locations in Northeast India?,general_query,general_query,neutral,medium,0.85,"Thank you for your inquiry! Shipping charges to remote locations in Northeast India can vary based on the specific area and the weight of the order. Please provide your location details, and I can assist you further with the exact charges.",Respond with FAQ information
48,I love the new mango flavor of the BCAA. Tastes amazing honestly.,general_query,general_query,positive,low,0.95,"Thank you for your feedback! We're thrilled to hear that you love the new mango flavor of the BCAA. If you have any other questions or need assistance, feel free to reach out!",Respond with FAQ information
49,Does the mass gainer contain any artificial sweeteners or preservatives?,general_query,general_query,neutral,medium,0.85,"Thank you for your question! I can help you with that. Please check the product label for detailed information on ingredients, including any artificial sweeteners or preservatives. If you have any other questions, feel free to ask!",Respond with FAQ information
50,Can I stack your creatine with the pre-workout or is that too much?,general_query,general_query,neutral,medium,0.85,"Yes, you can stack our creatine with the pre-workout. However, it's always a good idea to consult with a healthcare professional to ensure it fits your personal fitness plan.",Respond with FAQ information
